x1,y1,x2,y2,x3,y3,d12,d23,d13,v1,v2,v3
-0.975640,-0.999884,0.976286,-0.347095,0.946628,-0.302444,0.969442,0.719883,0.938825,0.096185,0.123558,0.570730
-0.974973,-0.999879,0.975635,-0.345258,0.945240,-0.300077,0.968986,0.720723,0.937795,0.097529,0.123926,0.569801
-0.974296,-0.999874,0.974975,-0.343421,0.943838,-0.297719,0.968523,0.721560,0.936752,0.098873,0.124298,0.568864
-0.973611,-0.999868,0.974306,-0.341586,0.942421,-0.295371,0.968054,0.722391,0.935697,0.100218,0.124676,0.567920
-0.972917,-0.999863,0.973628,-0.339751,0.940989,-0.293032,0.967579,0.723218,0.934631,0.101563,0.125057,0.566968
-0.972214,-0.999858,0.972942,-0.337918,0.939542,-0.290702,0.967098,0.724038,0.933553,0.102909,0.125444,0.566009
-0.971502,-0.999852,0.972246,-0.336086,0.938081,-0.288383,0.966611,0.724853,0.932464,0.104254,0.125834,0.565042
-0.970780,-0.999847,0.971542,-0.334255,0.936605,-0.286072,0.966117,0.725661,0.931363,0.105601,0.126230,0.564068
-0.970050,-0.999841,0.970829,-0.332425,0.935116,-0.283772,0.965618,0.726461,0.930251,0.106947,0.126630,0.563088
-0.969311,-0.999835,0.970107,-0.330596,0.933612,-0.281481,0.965112,0.727254,0.929127,0.108294,0.127034,0.562100
-0.968563,-0.999829,0.969376,-0.328769,0.932094,-0.279201,0.964601,0.728039,0.927992,0.109641,0.127443,0.561106
-0.967806,-0.999822,0.968636,-0.326942,0.930562,-0.276930,0.964083,0.728816,0.926845,0.110989,0.127856,0.560105
-0.967040,-0.999816,0.967887,-0.325117,0.929016,-0.274669,0.963559,0.729583,0.925687,0.112337,0.128274,0.559098
-0.966265,-0.999809,0.967129,-0.323293,0.927457,-0.272419,0.963029,0.730341,0.924519,0.113686,0.128697,0.558084
-0.965480,-0.999802,0.966363,-0.321470,0.925884,-0.270178,0.962492,0.731089,0.923338,0.115034,0.129124,0.557064
-0.964687,-0.999796,0.965587,-0.319649,0.924297,-0.267948,0.961950,0.731827,0.922147,0.116384,0.129555,0.556038
-0.963885,-0.999788,0.964803,-0.317829,0.922698,-0.265728,0.961402,0.732553,0.920945,0.117733,0.129991,0.555006
-0.963074,-0.999781,0.964010,-0.316010,0.921085,-0.263518,0.960847,0.733269,0.919732,0.119083,0.130431,0.553968
-0.962254,-0.999774,0.963208,-0.314192,0.919459,-0.261319,0.960286,0.733973,0.918508,0.120434,0.130876,0.552924
-0.961425,-0.999766,0.962397,-0.312376,0.917820,-0.259130,0.959719,0.734664,0.917272,0.121785,0.131325,0.551874
-0.960587,-0.999759,0.961577,-0.310561,0.916169,-0.256952,0.959146,0.735343,0.916027,0.123136,0.131779,0.550819
-0.959740,-0.999751,0.960749,-0.308748,0.914505,-0.254784,0.958567,0.736009,0.914770,0.124488,0.132237,0.549758
-0.958885,-0.999743,0.959911,-0.306935,0.912828,-0.252627,0.957982,0.736661,0.913502,0.125840,0.132699,0.548692
-0.958020,-0.999734,0.959065,-0.305125,0.911139,-0.250480,0.957390,0.737300,0.912224,0.127192,0.133166,0.547620
